Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?
J9pkbJo,OqE4jM,8/29/2025 9:30,recckfzgB8WBiR6Px,3,,,Yes,Yes,No,No,Please scarp off transaction fees,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Timely reminder via texts sms
aQZYZa2,gyba9J,8/29/2025 9:36,recxy6b15KYBoHOah,8,,,Yes,Yes,No,No,About installation of some apps,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
OD0p6NA,6qdGEo,8/29/2025 9:51,recNrMslNdBAM0aGJ,7,,,Yes,Yes,Yes,No,Charging....where can I get an original cable the one I bought with is not useful,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None
eqEkxkl,ORza6R,8/29/2025 11:35,recgMUiIX12X2aY1R,10,,,Yes,No,,,dek6,,,,,
RG85N7d,02VvdP,8/29/2025 11:40,rec66VMRtyscj1ohL,1,,,No,Yes,No,"No, I have never looked for customer care",It's hangs sometimes,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Not okay
Me8bbkp,xkV6Bo,8/29/2025 13:12,rec166k3oSN6BiPEp,4,,,No,Yes,No,No,No,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,"Discontinue the sale of S9s or only offer them on cash basis,the issues that show up later dont much the amount of money paid through loan as its expensive or give a disclaimer on the battery issues that arise before getting it on loan would be great"
XxODQXz,Mk1jMk,8/29/2025 14:25,recvDazucywbN0XCG,10,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,It's convenient and I have power to own phone which was not easy to me..
D40N6KX,pje8xb,8/29/2025 15:17,recvEvraeM0e0DxXn,8,,,Yes,Yes,No,No,I think u can do more better,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Am yet to know more about mophones
aQjeqX2,jOQdY1,8/29/2025 21:00,recKJOi8ccTCUpHOm,8,,,Yes,Yes,No,No,Not applicable,Yes,"No, I have never used it",Free SMS – 25044,No,The battery life is too short
Y5VOWWW,02d9Oj,8/29/2025 22:54,rec5qc8dhKqtOy7Xx,0,,,No,No,No,No,Network is an issue,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,Yes,My phone loses network
J98RRYR,XVLjYP,8/29/2025 23:36,recrZZtkNrT23VW11,0,,,Yes,No,Yes,Yes,"I usualy make my payment for one month in advance, recently i did that but there was some back dating on my payment after i had requested for an extension.. i was hoping that my last payment will take me to the end of month so that i can pay next month payment but it never did. My phone was locked and once i paid it was mot unlocked for more that 8 hours, i had to call in for it to be unlocked. Such a bad experience.",No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,3 days extensions when not paid on time are not enough. Yu should give your customers upto 1 week because the payment is weekly..This has been so inconviniencing to me this month.
RG84yLK,RXd5EP,8/30/2025 3:57,rec9fRZOlWZu80LGp,10,,,No,No,No,"No, I have never looked for customer care",No experienced yet,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"The phone is generally good but apart from just few things here am experiencing....
 1. Battery draining so fast despite the battery saver being on and background apps being prevented from running 
 2. It stopped working with biometric security"
WOl0zPe,WGrDWR,8/30/2025 7:04,recdFsSswATPQYIY5,6,,,Yes,Yes,No,No,About grace period should be given daily even if it's for 1hr,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Increase grace period incase of payment delay
pbVa691,Po5g90,8/30/2025 7:34,recdyerxl3uDxOr7h,2,,,Yes,Yes,No,No,No challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,You're the best
kdOZ0BM,VRjdWM,8/30/2025 8:38,recpCxshrJu60TDJZ,5,,,Yes,Yes,Yes,No,,,,,,
D40ey5Z,JaK9NX,8/30/2025 9:59,recweCJlZHY2s1UeT,10,,,Yes,Yes,No,No,The challenge am having is the device is restricted from installing some apps,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Kindly make sure next time you deliver complete charger
D40ePPb,kMvkgJ,8/30/2025 10:11,recjZopdDpA1Ty0Rm,9,,,Yes,Yes,No,No,Nothing by now everything is good,No,"No, I have never used it",Free SMS – 25044,No,Morphones is the best
Ek802D2,4WB5R5,8/30/2025 11:22,recLflOwihF3LmBbh,5,,,Yes,,,,,,,,,
81jeOOO,Ej54B2,8/30/2025 11:44,recBJ9UNox6YKp7cq,0,,,No,No,Yes,Yes,Service should be available 24hrs,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
VLoVvbN,loeRNo,8/30/2025 14:32,rectTsJpPmAs5Z9YX,10,,,Yes,Yes,No,"No, I have never looked for customer care",!,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,N
A7WD71W,rxG2ep,8/30/2025 17:42,recJMvJlhzfijiZnl,1,,,No,No,,,,,,,,
pb4WWQB,GN9MQk,8/30/2025 19:55,recCmqwHC3IbHwDzX,9,,,Yes,Yes,No,No,maybe later,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,yet to experience
obldQQX,xBo225,8/30/2025 22:16,recCZSZrOlKG1Nsgc,2,,,No,No,,,,,,,,
xX9PPWr,VRPqGj,8/31/2025 5:23,recDEd9Nv1hXsMlz8,0,,,No,No,Yes,Yes,"device delayment,,the phone is more expensive",Yes,"Yes, but I am not satisfied with the MoApp",Free SMS – 25044,Yes,no dual sim card
Pd8XPAe,VRPXoJ,8/31/2025 6:48,recJZmo4Cl1YD9oIA,10,,,Yes,Yes,No,Yes,I asled about repair and got no feedback. My back c9ver is broken,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
OD8JggR,Jalj9R,8/31/2025 7:14,rec0R28P1DkXpudwJ,10,,,Yes,Yes,Yes,No,Process payment faster,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Excellent products
vGqxdJ8,78vO5P,8/31/2025 12:35,recRmPYEoQcVucZeF,8,,,Yes,Yes,No,No,Satisfied,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,battery draining so fast
44PNYgA,e1azyJ,8/31/2025 13:40,recnKpSVQr5hhEM1u,7,,,Yes,Yes,No,No,Always,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Not bad phone though
Y5VVYB0,pjOpaB,8/31/2025 21:24,recx4uy15uJtvhs2R,9,,,Yes,Yes,Yes,No,Only once,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Nothing at the moment
vGrj7KX,QqEepg,9/1/2025 8:22,recb34Q1TfXduakNF,10,,,Yes,Yes,No,No,Your service are good,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,I appreciate your services i will be back now for sumsung A16
xX9zOVo,ekJAxJ,9/1/2025 19:16,rechNONSU5iBbuSEP,10,,,Yes,Yes,No,No,"No any challenge, I like this phones because it's original and quality",,,,,
68QO77A,1qa1Zl,9/1/2025 20:07,recaOJGCxeCs1mvP0,5,,,No,Yes,Yes,Yes,The phone misbehaving at times,Yes,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,No,Why have dropped the sale of the phone right know nd I think it should be increasing
jaGpaex,gyLGLO,9/2/2025 5:08,recX26UHIZJWs41jb,4,,,Yes,Yes,Yes,Yes,My phone spoiled screen trying to find an agent,,,,,
OD89jvA,O2d86a,9/2/2025 13:35,rechb8dCjkR7rEgIu,10,,,Yes,Yes,Yes,No,No challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
gDWxPLd,Z4zXNy,9/2/2025 17:09,rec8X64bGcLoltm0d,3,,,No,No,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
J98pPJY,o4rNkb,9/4/2025 6:57,recxNPIzMTmKSqLLh,7,,,Yes,Yes,No,"No, I have never looked for customer care",N/A,,"Yes, and I am satisfied with the MoApp",,,
b54r917,1qarBb,9/4/2025 15:30,recyzWEv6BQ7zh12m,10,,,Yes,Yes,Yes,No,I pay my phone on a Saturday ata around 3 am but when reaching 10 am it was locked.,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,Yes,No
b5K5dM0,2Mvx1L,9/5/2025 6:16,recqaNv0p5HtUuD1f,3,,,Yes,No,No,"No, I have never looked for customer care","I feel like there is so many restrictions,""blocked by admin"".
 I cant recieve applications that are not playstore supported.whats up with that?",No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,Its like you monitor everything from.phone calls to text messages.I feel my privacy is invaded that why i wont recommend a mophone.
aQKeoob,bBGyA0,9/5/2025 21:55,recyeJLZdsRrMqXXx,10,,,Yes,Yes,No,No,N/A,No,,Phone Call – +254 728 444 442 or +254 709 924 404,No,Satisfied Client.
EkvQNbX,RX1Eqp,9/7/2025 7:59,recgQ6iFXUOWeHv9T,5,,,Yes,Yes,Yes,No,,,,,,
obKobW1,8v4A0o,9/8/2025 5:47,recV3y5PlvZEgjQbt,8,,,Yes,Yes,Yes,No,All is well,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Not really
ODdYzgR,ZKaVla,9/8/2025 10:33,recrJqDYQTqMcXCsb,10,,,Yes,Yes,,,,,,,,
68AOpRP,EpQZrB,9/8/2025 14:27,recgJqJLD2B8VgY9k,10,,,Yes,Yes,No,No,No challenge,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,No feedback
kdK7vkM,LAr7Gy,9/8/2025 14:31,reclAf1RP8OvSwrKH,10,,,Yes,Yes,No,No,You have excellent service.,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,A great experience
BzbL1PA,a7REeZ,9/8/2025 14:34,recBfohvWW8Ui2aq9,6,,,No,No,No,Yes,The gadget had an issue with a Google map and customer support are not responding,No,"No, I have never used it",MoPhones App,No,Restrictions with downloading apps from play store
NpMJdj0,5y70Kd,9/8/2025 14:35,rec6bUiggiIOfmIMc,4,,,No,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Waiting for your response concerning the insurance
pbR7zzJ,WGWEGN,9/8/2025 14:37,rec0ZgzV4wdKi92O6,3,,,No,No,Yes,No,Change the refurbishment and customer care services,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,The phones always going back for repair
ODdJVQY,dLM0lD,9/8/2025 14:38,reck2UxNmK6F0decj,8,,,Yes,No,No,"No, I have never looked for customer care",no,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Check on how you can solve issues without customer visiting the shop
7R1VP9z,E40GMB,9/8/2025 14:39,recc28Wq3PgM7USsJ,8,,,Yes,Yes,Yes,Yes,Pay takes time to unlock,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,N/A
zx2rbQE,WLRKvR,9/8/2025 14:39,rec6xZfByaQn2FmYd,10,,,No,Yes,Yes,No,Que Phone disconnections!!,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Today they disconnected yet am due tomorrow.
xX4P6Xv,qxrGP8,9/8/2025 14:39,recgpyE43PfSmMMLY,10,,,Yes,Yes,No,No,No delays on reflection of balances,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Kindly be showing due date before disconnection.
QKvJjkk,2qWKkp,9/8/2025 14:43,rec5R7LjYhPhuniMH,10,,,Yes,Yes,No,No,None,,,,,
gDY7goO,L4DKMj,9/8/2025 14:44,rec2wNKSIr3ElpaZ3,10,,,Yes,Yes,No,No,N/A,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,N/A
zx2rgZa,G8JDAj,9/8/2025 14:44,recsu31LQ5mdaYOmB,1,,,No,No,No,Yes,You guys dint fix my problem instead you blamed me,No,"No, I have never used it",Free SMS – 25044,No,Listen to your clients sometimes
9qpExgE,Jady1X,9/8/2025 14:45,recBeCnnP39A093Uc,9,,,Yes,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None
obK7gKX,Mk4EAX,9/8/2025 14:46,recd1C1uoUgTuNRYC,8,,,No,Yes,No,No,The phone us supposed to have a ip68 rating but got water damage from an accidental fall in water,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,None
xX4PoLE,Mk4R18,9/8/2025 14:48,rec4ZZqW5XwWNPKs9,1,,,Yes,No,No,Yes,When i chat you dont respond,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,No
eqA2aql,ZbM0dA,9/8/2025 14:52,recUmnM151BQYo7GS,5,,,Yes,Yes,Yes,No,No,No,"Yes, but I am not satisfied with the MoApp",MoPhones App,Yes,No
A7Aq54z,jdRPEY,9/8/2025 14:53,reczxmvU0fZVJr3Eu,2,,,No,Yes,No,No,My phone sometimes is hugging and overheating,Yes,"No, I have never used it",Free SMS – 25044,Yes,No
68AOyv5,rN4Aop,9/8/2025 14:54,recAo04cPCh7dYBcM,2,,,No,No,No,Yes,Its been 1 month im yet to get feedback,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,
lbK71av,GNGl2o,9/8/2025 14:57,reckRV9jniefcU7lN,10,,,Yes,Yes,Yes,No,Excellent,Yes,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,Yes,Classic
xX4P1Ey,4gWDBr,9/8/2025 14:58,recYj06atoo9WMYLs,6,,,Yes,Yes,No,Yes,Your phone battery life is down,,,,,
7R1Vgg0,jOlJg4,9/8/2025 14:59,recN8VMjQ4fsV0r5M,7,,,,,,,,,,,,
9qpEg1p,PaMNA0,9/8/2025 14:59,recHsMEnzHIActSaT,0,,,No,No,Yes,Yes,Have been calling concerning the issue of app installation and you people didn't help,Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,Yes,"Kindly prefer customer satisfaction, your phones are of low quality"
44AoDlY,RE2DO4,9/8/2025 14:59,recFcLn8rGAMpVJUD,8,,,Yes,Yes,,,,,,,,
pbR7XeE,Mk4bL8,9/8/2025 15:01,recZQBxR3nLBtguvZ,8,,,Yes,Yes,No,No,N/,,,,,
yPjEbYW,gBMQyl,9/8/2025 15:05,rec33v8NYHTqY2BcI,,,,No,,,,,,,,,
vGEOvZv,yKQ6Yp,9/8/2025 15:05,rec27nxwtTR4saQBI,9,,,No,Yes,No,No,"My phone keeps hanging, the phone disconnects and keeps showing no simcard, the battery doesn't give me service as expected. You will find me recharging like twice in a day",Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,Yes,"Kindly include insurance cover for the phone which includes theft, damage and total loss"
dWKDoYD,0NWJMj,9/8/2025 15:05,recHfeNNFpMxXi26K,10,,,No,Yes,No,No,,,,,,
gDY7XRO,2pANgL,9/8/2025 15:05,recsUwSARrwhlHYkP,7,,,Yes,Yes,No,No,None,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,My s-pen isn't connecting to my phone
81k8xPx,eVr6A0,9/8/2025 15:06,recSmLIFaY0KcQl8N,,,,Yes,Yes,,,,,,,,
yPjEb7B,baDvje,9/8/2025 15:06,recQuze0jGPHeNPLI,10,,,Yes,Yes,Yes,Yes,,,,,,
pbR7NBE,MkDoW8,9/8/2025 15:07,rec3YVNBYbNvcAN9Q,3,,,No,No,Yes,Yes,"Phone hanging 
 Payment not reflecting 
 No changes in balance after payment 
 App not responding",Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Not happy with the services
pbR7Na1,gEqBZN,9/8/2025 15:09,recuBvmkTXiaiSc0Y,10,,,Yes,Yes,No,"No, I have never looked for customer care",No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
VLvMa0l,dLMYNo,9/8/2025 15:09,recdSSZnE4dZXO2oM,0,,,No,No,No,Yes,I came to your office with a software update issue which stated I needed to contact customer care service and the issue was dismissed as normal though a little research showed the software version was improperly installed. A month later the phones starts rebooting itself. By the time I got to your offices the phone had gone into safe mode. Left the phone with your technicians who by the time I went to pick it claimed I had tampered with the phone. They confiscated it and said I could not even get a refund of my money and I had been paying on time. I had previously complained more than once about the issue and nothing had been done. I'm disappointed,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,None
obK7N9P,dLMY1o,9/8/2025 15:10,recibILjq15EyKNgv,10,,,Yes,Yes,No,No,.,No,"No, I have never used it",Reach Out via a Sales Agent,No,No
VLvM7v6,029EpQ,9/8/2025 15:10,recosDF4lClWodDAE,0,,,No,No,Yes,Yes,,,,,,
NpMJxQG,ppaJaE,9/8/2025 15:10,recf9imF5MqgeF333,8,,,Yes,Yes,Yes,"No, I have never looked for customer care",N/A,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Give more variety of gadgets
LZvJx7j,1ZerzQ,9/8/2025 15:11,recwTIEGMzklqJbyk,3,,,No,No,Yes,Yes,They react rudely not directing customers well,No,"No, I have never used it",MoPhones App,Yes,"N,/A"
ODdJqVY,Ne0ZJN,9/8/2025 15:11,recELoLoakgAA4xMF,10,,,Yes,Yes,No,No,N/A,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,No
MevJ2yX,J5ppLo,9/8/2025 15:11,rec0w7Xy1EffFNcRr,0,,,No,No,Yes,No,Even right now the APP is not working,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,App is not working
rjKL0Dv,reOrWl,9/8/2025 15:11,rec8byQsLCH161Efo,1,,,Yes,Yes,,No,Ok sometimes if i fail to pay that's where challenges is,,,,,
ODdJqNK,NGopjG,9/8/2025 15:13,reckN3RPhB7aWdngJ,6,,,Yes,Yes,Yes,No,None,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None
rjGd8oR,lJGavW,9/8/2025 15:14,recfJQF17KRGBdNmF,8,,,Yes,Yes,No,"No, I have never looked for customer care",No,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
44AoljO,Pa0q5Q,9/8/2025 15:15,reccM6dF8KBAbpK0h,10,,,Yes,Yes,No,No,No,,,,,
Xx1M64Y,K9xl8D,9/8/2025 15:15,recw4ONirCQHTqJoX,5,,,No,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,None
7R1V70R,1ZeKeQ,9/8/2025 15:15,reclidEpJryhOtp5B,0,,,No,No,,,,,,,,
zx2r86a,VRelgv,9/8/2025 15:16,rec80dTdNT3f4Wsnu,,,,No,Yes,,,,,,,,
yPjE8gd,pjEAqB,9/8/2025 15:16,recedEJmEUH3OG2kN,8,,,Yes,Yes,No,No,N/A,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Currently satisfied with the services
b5K81pg,ZqEEQv,9/8/2025 15:17,recVaCKb0oIpkUHiG,4,,,Yes,No,No,Yes,Online whatsapp requests aren't responded to.,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,No
WODMaVN,EjR1pX,9/8/2025 15:17,recAsrQXSnrg7RaN7,10,,,No,Yes,No,Yes,My app currently its not functioning,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,My app isn't working
pbR7Ygb,GNG18j,9/8/2025 15:17,recQVazmlsg1W5mQk,0,,,No,No,No,Yes,Phone repair,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Insurance
gDY76DK,bBpOZE,9/8/2025 15:18,rec6ZB0EvKRqQafeb,5,,,Yes,Yes,No,No,None,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,None
1ADJoMl,aR47RZ,9/8/2025 15:19,rectbND6pEbSzyQFD,10,,,Yes,Yes,No,No,Opening mo phone app,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Looking forward to do business
WODMVbe,EjR0aq,9/8/2025 15:19,reciMpHbRD5cx2IoI,9,,,Yes,Yes,,,,,,,,
yPjE5qB,kMPqDj,9/8/2025 15:20,recpQHAQwuCUbRKS0,3,,,No,No,Yes,Yes,Getting different feedbacks..Just Train your customer service Personnel adequately,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
81jLE2O,xkxdz9,9/8/2025 15:20,recb9vfMdhEN6vDfY,5,,,Yes,Yes,No,No,No,,,,,
ODdJMoK,2qWrxj,9/8/2025 15:21,rec1dytrIaIbgoVlI,10,,,Yes,Yes,Yes,Yes,I had an issue no one attended to me,Yes,"No, I have never used it",Reach Out via a Sales Agent,No,Kindly attend to that issue
vGEO5P4,XKEl7O,9/8/2025 15:22,recMzNLObz4rqoCim,8,,,Yes,Yes,No,No,About my phone bettery drrains quickly,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
EkvJOXA,EjR0pr,9/8/2025 15:22,recuCjCkNmjW1ugrN,7,,,No,Yes,No,No,,,,,,
QKvJQeA,dLMPer,9/8/2025 15:23,rec7PmSRPrzUgrUyF,8,,,Yes,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,We need more types of phones
vGEO9Dd,BOyBRR,9/8/2025 15:23,recBW3WflBlSL7aee,8,,,Yes,Yes,No,No,I can’t install some apps on the device.,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,N/a
EkvJO7A,GMdyDQ,9/8/2025 15:24,recEl62c3uh84Hm2Q,5,,,No,Yes,,,,,,,,
2E1J619,NZdMJp,9/8/2025 15:24,recrTfQBt1tRHhOCF,7,,,Yes,Yes,Yes,Yes,I had paid for my phone but it was locked,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,N/A
PdvXqeQ,XjbxPP,9/8/2025 15:25,recmfNR0Hf2iyrv8y,8,,,Yes,Yes,Yes,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
BzAQRoY,Nz6rYl,9/8/2025 15:26,recjs76f8BfPunYLJ,3,,,No,No,No,"No, I have never looked for customer care",NA,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,The phone can barely finish 8hrs after charging
obK7jaX,8vBGKo,9/8/2025 15:26,reco7OoGEFs77bBkc,5,,,Yes,No,Yes,Yes,Customer doesn't pick up calls and doesn't reply texts quickly,Yes,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,Yes,You guys sometimes just lock the phone without a reason
81APBKA,L82Mbp,9/8/2025 15:28,rec0QJusY4lg2tUYv,10,,,Yes,Yes,Yes,"No, I have never looked for customer care",My weekly payment delayed to reflect and my phone was locked.,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,NA
KYvJjqX,Mk1jMk,9/8/2025 15:28,recvDazucywbN0XCG,10,,,Yes,Yes,No,No,Have not experienced difficulties,No,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,Yes,It's cheaper to aquire than other loans
ja57Vj1,dByPay,9/8/2025 15:29,reczmdCEsi8fe1xHf,5,,,Yes,Yes,No,No,No challenge as per now,Yes,"No, I have never used it",Free SMS – 25044,Yes,Pls after making payments let it be automatic come back service
aQKDLq9,9LkOz5,9/8/2025 15:29,recpBpsBPWcqnph7E,10,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Great services
eqK7X1k,2qWLbD,9/8/2025 15:29,rec6nmtWAgRZB9hkc,10,,,Yes,Yes,Yes,No,Paying but the device wasn't unlocked,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,The device has a poor battery
GxXJGbL,GN9MQk,9/8/2025 15:30,recCmqwHC3IbHwDzX,9,,,No,Yes,Yes,No,no,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,good
